"ID" "TLength" "Age" "s1_T_wgt" "s1_T_egg" "s1_N" "s1_Tin2" "s2_T_wgt" "s2_T_egg" "s2_N" "s2_Tin2" "stock" "y" "eggwgt1" "eggwgt2"
"128" 128 630 8 976.92 1000.56 26 977.22 1030.93 1052.69 24 1031.18 "SB" 1 0.897692307692305 0.89625
"129" 129 548 7 981.95 1010.19 27 982.12 992.84 1025.83 32 993.51 "SB" 1 1.03962962962963 1.01
"130" 130 554 6 1027.76 1059.26 34 1028.14 1000.33 1033.66 35 1000.46 "SB" 1 0.915294117647056 0.94857142857143
"131" 131 613 8 1023.48 1045.64 26 1023.81 1001.48 1023.6 26 1001.55 "SB" 1 0.83961538461539 0.848076923076926
"132" 132 715 9 989.77 1018.6 30 992.02 1028.95 1052.07 24 1029.4 "SB" 1 0.886000000000001 0.944583333333327
"133" 133 541 6 988.89 1019.29 29 989.09 978.48 1004.79 25 978.86 "SB" 1 1.04137931034483 1.0372
"134" 134 591 9 1015.78 1030.62 19 1015.95 1005.14 1023.34 23 1005.37 "SB" 1 0.772105263157887 0.781304347826088
"135" 135 510 NA 982.9 1007.49 28 983.11 967.11 983.91 19 967.26 "SB" 1 0.870714285714286 0.876315789473683
"136" 136 565 6 1010.19 1034.37 25 1010.49 1006.66 1030.86 25 1006.95 "SB" 1 0.955199999999995 0.956399999999994
"137" 137 548 5 1010.47 1036.58 33 1010.69 998.79 1025.92 34 999.02 "SB" 1 0.78454545454545 0.791176470588238
"138" 138 523 5 1023.44 1052.11 30 1023.86 1011.84 1039.07 28 1012.03 "SB" 1 0.941666666666663 0.965714285714284
"139" 139 741 20 979.09 1005.27 25 979.38 1030.8 1059.72 28 1030.96 "SB" 1 1.0356 1.02714285714286
"140" 140 630 8 997.36 1028.54 29 997.83 1031.75 1061.9 29 1031.85 "SB" 1 1.05896551724138 1.03620689655173
"141" 141 531 5 992.14 1018.38 28 992.35 994.01 1020.41 28 994.3 "SB" 1 0.929642857142856 0.9325
"142" 142 580 9 994.59 1018.33 29 994.9 985.63 1017.83 39 986.67 "SB" 1 0.80793103448276 0.798974358974361
"143" 143 555 6 1016.98 1047.39 25 1017.32 995.69 1024.86 27 995.97 "SB" 1 1.2028 1.07
"144" 144 675 12 1024.57 1051.53 25 1024.98 1039.77 1067.82 26 1040 "SB" 1 1.062 1.07
"145" 145 497 6 1002.83 1029.13 28 1003.09 1015.59 1044.52 31 1015.94 "SB" 1 0.930000000000003 0.921935483870965
"146" 146 520 5 1010.22 1036.66 25 1010.39 1008.32 1037.85 28 1008.27 "SB" 1 1.0508 1.05642857142857
"147" 147 599 7 1017.5 1039.42 28 1017.35 1023.48 1041.78 23 1023.66 "SB" 1 0.788214285714288 0.787826086956522
"148" 148 583 8 1002.65 1026.9 24 1002.81 1005.03 1027.36 24 1005.21 "SB" 1 1.00375000000001 0.92291666666666
"149" 149 534 8 1030.09 1053.27 26 1030.12 1014.95 1040.02 28 1014.87 "SB" 1 0.890384615384619 0.898214285714285
"150" 150 600 NA 995.76 1023.41 29 995.92 987.14 1014.45 29 987.23 "SB" 1 0.94793103448276 0.938620689655173
"151" 151 556 6 1017.76 1040.42 24 1018.09 1003.02 1025.3 25 1003.39 "SB" 1 0.930416666666668 0.876399999999999
"152" 152 559 5 1001.08 1025.63 24 1001.54 1018.81 1051.02 30 1019.03 "SB" 1 1.00375000000001 1.06633333333333
"153" 153 620 6 1018.64 1055.85 35 1019.02 1021.31 1063 40 1021.6 "SB" 1 1.05228571428571 1.035
"154" 154 545 5 977.17 999.56 25 977.5 989.4 1017.64 31 989.87 "SB" 1 0.882399999999998 0.895806451612903
"155" 155 585 6 1008.76 1035.89 25 1008.97 996.77 1025.77 27 997.1 "SB" 1 1.0768 1.06185185185185
"156" 156 636 8 1005.4 1028 22 1005.49 1025.9 1046.16 20 1025.9 "SB" 1 1.02318181818182 1.013
"157" 157 535 5 1027.32 1052.94 25 1027.64 1008.42 1034.74 26 1008.9 "SB" 1 1.012 0.993846153846155
"158" 158 540 5 981.01 1005.07 30 981.26 1020.32 1043.51 29 1020.62 "SB" 1 0.793666666666669 0.789310344827586
"159" 159 525 5 1009.98 1037.78 28 1010.38 1028.39 1052.13 24 1028.59 "SB" 1 0.978571428571428 0.980833333333341
"160" 160 717 10 1000.58 1024.53 27 1000.63 1026.42 1050.27 27 1026.57 "SB" 1 0.885185185185184 0.87777777777778
"161" 161 682 7 1039.71 1059.79 19 1040.05 1027.46 1054.47 26 1027.86 "SB" 1 1.03894736842105 1.02346153846154
"162" 162 737 1 1054.7 1076.57 22 1054.97 1051.72 1073.82 22 1052.18 "SB" 1 0.981818181818178 0.983636363636358
"163" 163 540 6 980.27 1005.83 22 980.42 1007.94 1036.12 24 1008.12 "SB" 1 1.155 1.16666666666666
"164" 164 749 15 949.39 973.72 29 949.78 972.85 998.01 29 972.96 "SB" 1 0.825517241379312 0.863793103448274
"165" 165 495 5 1025.87 1044.39 20 1025.99 1003.14 1019.43 17 1003.44 "SB" 1 0.920000000000005 0.940588235294112
"166" 166 666 12 1003.98 1029.01 30 1004.25 1030.42 1055.61 30 1030.87 "SB" 1 0.825333333333333 0.824666666666667
"167" 167 640 9 1038.25 1067.74 32 1038.53 1011.1 1033.21 24 1011.25 "SB" 1 0.912812500000001 0.915000000000001
"168" 168 680 7 1009.21 1030.87 24 1009.48 991.9 1018.21 29 992.33 "SB" 1 0.891249999999995 0.892413793103448
"169" 169 500 6 996.59 1018.64 23 996.95 1011.64 1034.46 24 1011.92 "SB" 1 0.943043478260867 0.93916666666667
"170" 170 744 19 1004.21 1033.7 29 1004.35 1023.69 1051.99 28 1023.7 "SB" 1 1.01206896551724 1.01035714285714
"171" 171 515 5 991.34 1009.73 22 991.64 999.33 1018.79 23 999.69 "SB" 1 0.822272727272729 0.830434782608692
"172" 172 555 5 976.56 1001.32 24 976.8 994.76 1017.53 22 994.86 "SB" 1 1.02166666666667 1.03045454545454
"173" 173 590 7 980.25 1005.38 26 980.52 994.18 1018.08 25 994.35 "SB" 1 0.956153846153847 0.9492
"174" 174 540 5 977.11 999.61 24 977.49 1004.4 1026.08 23 1004.74 "SB" 1 0.921666666666667 0.927826086956518
