catnum	length							
P04766	18.3							
P04766	15.2							
P04766	24.9							
P04766	18.1							
P04766	20.1							
P04766	19.6							
P04766	18.3							
P04766	18.2							
P04766	16							
P04766	18.6							
P04766	21.4							
P04766	18.6							
P04766	17.9							
P04766	17.2							
P04766	24.2							
P04766	16.9							
P04766	16.9							
P04766	24.4							
P04766	24.3							
P04766	20							
P04766	25.9							
P04766	23.7							
P04766	22.8							
P04766	22.5							
P04766	18.4							
P04766	20.7							
P04766	16.4							
P04766	28.8							
P04766	19.2							
P04766	15.3							
P04766	17.3							
P04766	18.6							
P04766	16.9							
P04766	19.9							
P04766	16.4							
P04766	16							
P04766	29.3							
P04766	33.5							
P04766	28.8							
P04766	19.7							
P04766	27.9							
P04766	24.5							
P04766	26.2							
P04766	18.5							
P04766	23.3							
P04766	20.7							
P04766	21.2							
P04766	17							
P04766	19.5							
P04766	21.3							
P04766	18.6							
P04766	15.9							
P04766	21.7							
P04766	17.5							
P04766	19.3							
P04766	23.4							
P04766	25.8							
P04766	31.3							
P04766	30.8							
P04766	11.8							
P04766	31.8							
P04766	18.7							
P04766	22.5							
P04766	15.2							
P04766	23.6							
P04766	25.5							
P04766	22.1							
P04766	20.2							
P04766	21.9							
P04766	16.8							
P04766	18.8							
P04766	17.2							
P04766	19							
P04766	18.2							
P04766	20.2							
P04766	17.5							
P04766	20.5							
P04766	25.6							
P04766	21.3							
P04766	21.5							
P04766	24							
P04766	19.6							
P04766	19.2							
P04766	20.1							
P04766	13.9							
P04766	25.3							
P04766	18.9							
P04766	20.5							
P04766	20.7							
P04766	16.3							
P04766	17.6							
P04766	14.7							
P04766	19.2							
P04766	19.4							
P04766	27.2							
P04766	17.8							
P04766	22							
P04766	15.9							
P04766	16.3							
P04766	16.3							
P04766	16.7							
P04766	15.9							
P04766	21.3							
P04766	19.9							
P04766	19.8							
P04766	21.1							
P04766	18.9							
P04766	20.4							
P04766	19.9							
P04766	15.5							
P04766	20.1							
P04766	24.1							
P04766	19.7							
P04766	20.5							
P04766	21.3							
P04766	18.8							
P04766	14.6							
P04802	23.5							
P04802	28.7							
P04802	23.3							
P04802	22.5							
P04802	24.3							
P04802	32.8							
P04802	23.3							
P04802	29.3							
P04802	18.6							
P04802	20.9							
P04802	27.5							
P05055	23.8							
P05055	23.6							
P05055	17.6							
P05055	18.9							
P05055	19.5							
P05055	26.2							
P05055	25.1							
P05055	16.4							
P05055	21.6							
P05055	24.8							
P05055	10.7							
P05055	24.3							
P05055	20.3							
P05055	27.9							
P05055	27.2							
P05055	25.1							
P05055	19.1							
P05055	25							
P05055	16.1							
P05055	25.1							
P05055	20.8							
P05055	32.1							
P05055	18.8							
P05055	25							
P05055	20.6							
P05055	24.6							
P05055	27.8							
P05055	26.1							
P05055	26.7							
P05055	13.1							
P05055	30.2							
P05055	16.3							
P05055	18.9							
P05055	18							
P05055	24.3							
P05055	22.5							
P05055	18.8							
P05055	26.3							
P05055	12.3							
P05055	26.7							
P05055	16							
P05055	25.4							
P05055	21.2							
P05055	18.1							
P05055	21.5							
P05055	31							
P05055	23.5							
P05055	18.8							
P05055	21.8							
P05055	22.7							
P05055	18.7							
P05055	15.9							
P05055	18.9							
P05055	22.8							
P05055	24.7							
P05055	24							
P05055	14							
P05055	29.5							
P05055	19.3							
P05055	20.6							
P05055	23.5							
P05055	29.7							
P05055	19.2							
P05055	16							
P05055	23.2							
P05055	20.6							
P05055	25.2							
P05055	25.9							
P05055	22.6							
P05055	19							
P05055	10.8							
P05055	21.9							
P05055	23.7							
P05055	26.6							
P05055	25.5							
P05055	16.9							
P05055	15.2							
P05055	20							
P05055	20.4							
P05055	10.2							
P05055	21							
P05055	26.2							
P05055	22.4							
P05055	23.7							
P05055	15.7							
P05055	22.5							
P05055	20.5							
P05055	23.4							
P05055	26.5							
P05055	12.1							
P05055	17.8							
P05055	19.9							
P05055	22.6							
